Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type
FBgn0266403	lncRNA:CR45043	3L	3522850	3523620	-1	ncRNA
FBgn0283431	CR46274	X	20217402	20218244	-1	pseudogene
FBgn0034646	Rae1	2R	21658770	21660007	-1	protein_coding
FBgn0038437	Sdhaf3	3R	16481861	16482452	-1	protein_coding
FBgn0037518	CG2641	3R	7794069	7796599	1	protein_coding
FBgn0264342	CG43798	2L	4647051	4647920	1	protein_coding
FBgn0036733	U4-U6-60K	3L	17511855	17513912	-1	protein_coding
FBgn0032079	CG31886	2L	8953481	8959051	-1	protein_coding
FBgn0020637	Lcp65Ag2	3L	6132990	6133593	-1	protein_coding
FBgn0265916	lncRNA:CR44705	X	18622466	18622706	-1	ncRNA
FBgn0267121	lncRNA:CR45561	3R	10969667	10970278	1	ncRNA
FBgn0267108	CR45548	3R	27961443	27961821	-1	pseudogene
FBgn0037288	CG14661	3R	4953506	4955252	-1	protein_coding
FBgn0034354	GstE11	2R	18503608	18505025	1	protein_coding
FBgn0267957	lncRNA:CR46237	2R	12900881	12901613	1	ncRNA
FBgn0036924	hale	3L	19984426	19985868	-1	protein_coding
FBgn0267263	lncRNA:CR45699	2L	17644448	17644844	-1	ncRNA
FBgn0026878	CG4325	X	2042730	2043818	-1	protein_coding
FBgn0031765	CG9109	2L	6025870	6034423	-1	protein_coding
FBgn0030290	CG11756	X	11348120	11348865	1	protein_coding
FBgn0283657	Tlk	X	3720007	3789770	1	protein_coding
FBgn0015772	Nak	2L	18957732	18968744	-1	protein_coding
FBgn0267156	lncRNA:CR45596	3R	14288229	14288665	1	ncRNA
FBgn0031129	CG1324	X	20734455	20735960	-1	protein_coding
FBgn0013799	Deaf1	3L	19818174	19830686	1	protein_coding
FBgn0267602	lncRNA:CR45940	3L	19033317	19033900	-1	ncRNA
FBgn0266173	pre-mod(mdg4)-K	3R	21355692	21359768	-1	protein_coding
FBgn0052405	Cpr65Av	3L	6139223	6139974	-1	protein_coding
FBgn0037713	CG16790	3R	9569074	9570214	-1	protein_coding
FBgn0051054	CR31054	3R	27960768	27961476	1	pseudogene
FBgn0263466	snoRNA:lola-a	2R	10536495	10536660	-1	snoRNA
FBgn0267722	asRNA:CR46055	3R	21632705	21633322	1	ncRNA
FBgn0260484	HIP	X	3799150	3801570	1	protein_coding
FBgn0267195	lncRNA:CR45635	3R	15697274	15697874	1	ncRNA
FBgn0053735	snmRNA:430i	2L	21483366	21483401	1	ncRNA
FBgn0085819	28SrRNA-Psi:CR41609	X	23261772	23262666	-1	pseudogene
FBgn0051259	CG31259	3R	8523944	8526667	1	protein_coding
FBgn0052808	CG32808	X	1468693	1469817	-1	protein_coding
FBgn0261987	Pxt	3R	17719454	17722955	1	protein_coding
FBgn0038207	CG14356	3R	14130680	14132072	-1	protein_coding
FBgn0051914	tRNA:Asp-GTC-1-1	2L	5241106	5241177	-1	tRNA
FBgn0265724	lncRNA:CR44531	3L	2882814	2883400	1	ncRNA
FBgn0024804	Dbp80	3L	27279316	27422159	1	protein_coding
FBgn0085341	CG34312	2R	13209809	13212237	-1	protein_coding
FBgn0051199	CG31199	3R	20742800	20743869	-1	protein_coding
FBgn0053664	CG33664	X	6384220	6384899	1	protein_coding
FBgn0035470	Ccz1	3L	3897444	3899156	-1	protein_coding
FBgn0261610	CG42699	X	5764553	5789576	1	protein_coding
FBgn0053199	CG33199	2R	8947681	8951086	-1	protein_coding
FBgn0050053	CG30053	2R	12688733	12689876	-1	protein_coding
FBgn0036332	CG11261	3L	13009399	13011685	-1	protein_coding
FBgn0030359	CG18130	X	11990118	11992768	-1	protein_coding
FBgn0031776	Pfdn1	2L	6069079	6069838	1	protein_coding
FBgn0032261	CG6094	2L	10507081	10508032	1	protein_coding
FBgn0032286	CG7300	2L	10695000	10698043	-1	protein_coding
FBgn0034126	jtb	2R	16432244	16433183	1	protein_coding
FBgn0262714	Sap130	3L	12805902	12813036	1	protein_coding
FBgn0036259	CG9760	3L	12157052	12163735	-1	protein_coding
FBgn0038110	CG8031	3R	13008384	13011310	-1	protein_coding
FBgn0085265	CG34236	2R	13604495	13605655	-1	protein_coding
FBgn0030187	Ipod	X	10231002	10233080	-1	protein_coding
FBgn0020018	Ppox	3R	24660197	24661851	-1	protein_coding
FBgn0284222	CG46306	X	16826681	16835520	-1	protein_coding
FBgn0284409	lncRNA:TS1	2L	20550951	20551354	-1	ncRNA
FBgn0053300	Muc30E	2L	9897820	9903128	-1	protein_coding
FBgn0035854	CG8005	3L	8198207	8199491	1	protein_coding
FBgn0042086	Tsp42Eb	2R	6998848	6999848	1	protein_coding
FBgn0036838	CG3808	3L	18997875	19000608	-1	protein_coding
FBgn0264543	CG43922	2L	6308377	6308751	-1	protein_coding
FBgn0046258	CG12880	3R	27685962	27692790	1	protein_coding
FBgn0264362	CG43814	2L	18804491	18805347	-1	protein_coding
FBgn0034166	CG6472	2R	16880713	16884695	1	protein_coding
FBgn0263236	SP1029	3R	29244961	29250451	-1	protein_coding
FBgn0053434	5SrRNA:CR33434	2R	19736248	19736382	-1	rRNA
FBgn0004783	Ccp84Aa	3R	6704084	6704903	1	protein_coding
FBgn0051953	CR31953	2L	3162515	3163289	1	pseudogene
FBgn0027779	VhaSFD	2L	16722883	16727826	-1	protein_coding
FBgn0032483	CG15482	2L	13210773	13211814	-1	protein_coding
FBgn0063379	snoRNA:U31:54Ec	2R	17702172	17702238	1	snoRNA
FBgn0085461	CG34432	3R	30649151	30649873	1	protein_coding
FBgn0019972	Drice	3R	29799658	29801584	1	protein_coding
FBgn0033890	Ctf4	2R	13980362	13983317	-1	protein_coding
FBgn0267242	asRNA:CR45682	3L	12491840	12493605	1	ncRNA
FBgn0031388	CG12674	2L	2079919	2081286	1	protein_coding
FBgn0038526	CG14327	3R	17613709	17614933	1	protein_coding
FBgn0263663	lncRNA:CR43654	3R	22777567	22781465	-1	ncRNA
FBgn0004647	N	X	3134870	3172221	1	protein_coding
FBgn0051463	CG31463	3R	8292335	8293609	1	protein_coding
FBgn0051050	CG31050	3R	28649909	28650480	-1	protein_coding
FBgn0029890	Fum2	X	6681767	6683696	1	protein_coding
FBgn0082973	snoRNA:Psi28S-3308	3L	832487	832639	-1	snoRNA
FBgn0033928	Arc2	2R	14361924	14362825	1	protein_coding
FBgn0263979	Caf1-55	3R	15225576	15227564	1	protein_coding
FBgn0038303	SIDL	3R	15214762	15218874	-1	protein_coding
FBgn0051976	ovm	2L	138384	140992	-1	protein_coding
FBgn0267932	lncRNA:CR46212	3L	10603772	10604509	-1	ncRNA
FBgn0050407	tRNA:Gly-TCC-2-1	2R	21843097	21843168	-1	tRNA
FBgn0027111	miple1	3L	267299	270336	1	protein_coding
FBgn0262842	CG43206	3L	16566750	16567300	1	protein_coding
FBgn0035964	Dhpr	3L	9134560	9135916	1	protein_coding
FBgn0014189	Hel25E	2L	5539326	5542314	-1	protein_coding
FBgn0038105	yellow-f2	3R	12993395	12995147	-1	protein_coding
FBgn0035405	CG15812	3L	3159991	3162019	1	protein_coding
FBgn0041243	Gr43a	2R	7390869	7393161	-1	protein_coding
FBgn0015037	Cyp4p1	2R	9240041	9242139	1	protein_coding
FBgn0086855	CG17078	2L	274740	278234	-1	protein_coding
FBgn0052086	CG32086	3L	11582401	11584064	-1	protein_coding
FBgn0015521	RpS21	2L	2856070	2857029	1	protein_coding
FBgn0031876	Atac1	2L	6959099	6960328	-1	protein_coding
FBgn0041719	snRNA:U4:25F	2L	5565619	5565766	1	snRNA
FBgn0011945	tRNA:Pro-TGG-1-2	3R	17619961	17620032	1	tRNA
FBgn0267055	CR45499	X	21155432	21156173	-1	pseudogene
FBgn0050090	CG30090	2R	15689826	15691014	1	protein_coding
FBgn0031878	sip2	2L	6961516	6964074	-1	protein_coding
FBgn0024371	E2f2	2L	21154293	21156749	-1	protein_coding
FBgn0267577	lncRNA:CR45917	3R	25650572	25651557	1	ncRNA
FBgn0085386	CG34357	3R	4491943	4558067	-1	protein_coding
FBgn0266692	asRNA:CR45182	3L	25843821	25844502	1	ncRNA
FBgn0013694	mt:tRNA:Gly-TCC	mitochondrion_genome	5543	5607	1	tRNA
FBgn0030946	CG6659	X	18653392	18657286	-1	protein_coding
FBgn0052087	CG32087	3L	11732141	11733610	1	protein_coding
FBgn0036007	path	3L	9494555	9505328	-1	protein_coding
FBgn0265710	lncRNA:CR44517	X	9140242	9141965	-1	ncRNA
FBgn0034628	Acox57D-p	2R	21386309	21389276	1	protein_coding
FBgn0259483	Mob4	2R	6695114	6696661	-1	protein_coding
FBgn0042627	FASN2	2L	3043947	3056143	1	protein_coding
FBgn0052432	CG32432	3L	20844332	20885188	-1	protein_coding
FBgn0069242	eca	3R	9684469	9685476	-1	protein_coding
FBgn0260990	yata	3R	29749219	29754528	1	protein_coding
FBgn0028671	Vha100-1	3R	29131193	29137980	1	protein_coding
FBgn0051569	tRNA:Ala-AGC-2-5	3R	17631042	17631114	-1	tRNA
FBgn0036310	CG10969	3L	12778750	12781097	-1	protein_coding
FBgn0261373	CG33228	2R	24668411	24669330	-1	protein_coding
FBgn0083990	lncRNA:sphinx	4	975168	977261	1	ncRNA
FBgn0005695	gcl	2R	8724258	8728999	1	protein_coding
FBgn0263868	lncRNA:CR43715	2L	5433676	5434236	-1	ncRNA
FBgn0026323	Tak1	X	20515908	20524928	-1	protein_coding
FBgn0034683	CG13500	2R	22056467	22057681	-1	protein_coding
FBgn0265900	lncRNA:CR44689	3L	22898191	22898580	-1	ncRNA
FBgn0003261	Rm62	3R	6000426	6008579	-1	protein_coding
FBgn0053110	CG33110	3R	22570188	22580392	1	protein_coding
FBgn0086056	snoRNA:Me18S-A425	3R	11222841	11222924	1	snoRNA
FBgn0032966	CG1421	2L	21902993	21903739	1	protein_coding
FBgn0033927	CR10102	2R	14360433	14361780	-1	pseudogene
FBgn0266395	lncRNA:CR45035	3L	22225520	22225878	-1	ncRNA
FBgn0034356	Pepck2	2R	18527430	18535749	1	protein_coding
FBgn0052039	CG32039	3L	9358999	9359996	1	protein_coding
FBgn0032222	CG5037	2L	10331471	10333129	1	protein_coding
FBgn0033224	Nop17l	2R	7800785	7806385	-1	protein_coding
FBgn0065084	snmRNA:763	X	19301703	19301873	-1	ncRNA
FBgn0266349	asRNA:CR44998	X	15334478	15335971	-1	ncRNA
FBgn0015829	TfIIEbeta	3L	4287038	4288349	1	protein_coding
FBgn0052602	Muc12Ea	X	14277735	14288161	1	protein_coding
FBgn0267208	asRNA:CR45648	3R	22724348	22724678	1	ncRNA
FBgn0002566	lt	2L	22924795	22943135	1	protein_coding
FBgn0034105	CG7755	2R	16281630	16282946	-1	protein_coding
FBgn0027615	CG6404	3L	10884261	10886471	-1	protein_coding
FBgn0250868	CG42239	2R	17572829	17573330	1	protein_coding
FBgn0026076	UBL3	X	15849731	15853175	-1	protein_coding
FBgn0046756	asRNA:CR33945	3R	31767973	31769423	1	ncRNA
FBgn0004087	Dhfr	3R	16481167	16481878	1	protein_coding
FBgn0267029	lncRNA:CR45473	X	140973	142197	-1	ncRNA
FBgn0266152	lncRNA:CR44858	2L	14761972	14762691	1	ncRNA
FBgn0052462	CG32462	3L	22852270	22853512	-1	protein_coding
FBgn0265163	lncRNA:CR44232	3R	12767627	12768357	1	ncRNA
FBgn0020269	mspo	2R	14671396	14713622	-1	protein_coding
FBgn0267919	lncRNA:CR46200	3L	901888	902396	1	ncRNA
FBgn0004569	aos	3L	16470386	16483650	-1	protein_coding
FBgn0285955	cv-c	3R	14391683	14481713	-1	protein_coding
FBgn0033058	CCHa2-R	2R	6050949	6068680	1	protein_coding
FBgn0031981	CG7466	2L	8043471	8054326	1	protein_coding
FBgn0037171	CG14459	3L	22573114	22637916	-1	protein_coding
FBgn0265180	CG44245	2R	21200483	21212969	1	protein_coding
FBgn0051776	CG31776	2L	3470182	3472364	1	protein_coding
FBgn0001091	Gapdh1	2R	7791901	7793380	-1	protein_coding
FBgn0030878	CG6769	X	17861002	17862775	1	protein_coding
FBgn0265584	lncRNA:CR44411	2L	17588203	17588720	-1	ncRNA
FBgn0082944	snoRNA:Me28S-A2634c	3L	1666437	1666522	-1	snoRNA
FBgn0262824	CG43195	2R	19944263	19945877	-1	protein_coding
FBgn0264448	asRNA:CR43866	2L	6004167	6006333	1	ncRNA
FBgn0085426	Rgk3	2R	21255165	21280995	1	protein_coding
FBgn0037819	CG14688	3R	10677737	10680925	-1	protein_coding
FBgn0035422	RpL28	3L	3220911	3222960	-1	protein_coding
FBgn0036656	CG13026	3L	16724678	16726169	-1	protein_coding
FBgn0002931	net	2L	82421	87387	-1	protein_coding
FBgn0020312	Tmtc3	2R	21123735	21128510	-1	protein_coding
FBgn0003187	qua	2L	17486806	17497208	-1	protein_coding
FBgn0031639	mRpS2	2L	4849439	4850419	-1	protein_coding
FBgn0063499	GstE10	2R	18396638	18398519	-1	protein_coding
FBgn0265051	lncRNA:CR44166	2R	6841545	6842094	1	ncRNA
FBgn0004779	Ccp84Ae	3R	6690887	6691758	-1	protein_coding
FBgn0085204	CG34175	2L	3398023	3398684	1	protein_coding
FBgn0020622	Pi3K21B	2L	297880	305233	1	protein_coding
FBgn0035797	CG14837	3L	7555780	7560037	-1	protein_coding
FBgn0263329	lncRNA:CR43410	2L	13632676	13633166	-1	ncRNA
FBgn0035537	CG11342	3L	4366494	4367458	-1	protein_coding
FBgn0026257	cav	3R	24221103	24223528	1	protein_coding
FBgn0266705	asRNA:CR45195	3R	10876834	10877783	-1	ncRNA
FBgn0032047	CG13088	2L	8488981	8490546	1	protein_coding
FBgn0036663	CG9674	3L	16787573	16807731	-1	protein_coding
FBgn0011305	Rsf1	2L	10261795	10263554	-1	protein_coding
FBgn0264573	lncRNA:CR43945	3L	20729274	20729656	-1	ncRNA
FBgn0284228	CG46312	X	15987166	15991974	-1	protein_coding
FBgn0266153	lncRNA:CR44859	2L	15396334	15396934	1	ncRNA
FBgn0267573	lncRNA:CR45913	2L	13745448	13747888	-1	ncRNA
FBgn0283626	lncRNA:CR46299	3R	7318039	7318803	1	ncRNA
FBgn0266195	Tgs1	3R	18255530	18257677	1	protein_coding
FBgn0267027	lncRNA:CR45471	2R	4730481	4731395	1	ncRNA
FBgn0261396	Rpn3	2L	19051790	19053681	1	protein_coding
FBgn0266802	asRNA:CR45264	2R	12179014	12179745	1	ncRNA
FBgn0259848	Su(Ste):CR42417	Y	1037852	1038828	1	ncRNA
FBgn0264340	CG43796	2L	8482374	8483005	1	protein_coding
FBgn0035253	CG7971	3L	1654247	1665064	-1	protein_coding
FBgn0085453	CG34424	2R	23359215	23360266	1	protein_coding
FBgn0037573	CG7483	3R	8313208	8314864	1	protein_coding
FBgn0052482	tRNA:iMet-CAT-1-3	3L	743723	743794	-1	tRNA
FBgn0266835	lncRNA:CR45297	2L	4811711	4811945	-1	ncRNA
FBgn0039584	beat-VI	3R	28418208	28474814	1	protein_coding
FBgn0037384	dgrn	3R	5824615	5826576	1	protein_coding
FBgn0265883	lncRNA:CR44672	3L	18475298	18475679	1	ncRNA
FBgn0031999	CG8419	2L	8206171	8209637	1	protein_coding
FBgn0027948	msps	3R	16050801	16060675	1	protein_coding
FBgn0004780	Ccp84Ad	3R	6692732	6693527	1	protein_coding
FBgn0034345	CG5174	2R	18421413	18426221	1	protein_coding
FBgn0052360	tRNA:Leu-CAG-1-4	3L	8060674	8060756	-1	tRNA
FBgn0267181	asRNA:CR45621	X	12612108	12615780	-1	ncRNA
FBgn0267079	lncRNA:CR45523	X	15691672	15692597	1	ncRNA
FBgn0261286	Mat89Ba	3R	16268329	16272415	-1	protein_coding
FBgn0011739	wts	3R	30789625	30806619	-1	protein_coding
FBgn0038470	CG18213	3R	17036394	17040203	-1	protein_coding
FBgn0015576	alpha-Est8	3R	7509343	7515670	-1	protein_coding
FBgn0002069	AspRS	2R	12877004	12883168	1	protein_coding
FBgn0038100	Paip2	3R	12980792	12985488	1	protein_coding
FBgn0029524	CG3176	X	481862	482768	1	protein_coding
FBgn0030301	HP5	X	11454786	11459227	1	protein_coding
FBgn0283680	IP3K2	X	13303633	13329303	1	protein_coding
FBgn0264426	CG43844	3R	21889539	21890171	1	protein_coding
FBgn0039694	fig	3R	29779273	29780452	-1	protein_coding
FBgn0016691	ATPsynO	3R	15265591	15266690	1	protein_coding
FBgn0267695	lncRNA:CR46031	3L	14424501	14425926	1	ncRNA
FBgn0033454	CG1671	2R	9848061	9850642	1	protein_coding
FBgn0034498	CG16868	2R	20281629	20287094	-1	protein_coding
FBgn0001258	Ldh	3L	6259105	6262694	-1	protein_coding
FBgn0035344	Cyp4d20	3L	2476259	2478448	-1	protein_coding
FBgn0030345	CG1847	X	11869170	11871168	1	protein_coding
FBgn0263328	lncRNA:CR43409	2L	11290632	11291077	-1	ncRNA
FBgn0036264	CG11529	3L	12197791	12199030	1	protein_coding
FBgn0052100	CG32100	3L	12267528	12269803	1	protein_coding
FBgn0010387	Dbi	3L	7131863	7133463	1	protein_coding
FBgn0028475	Hrd3	3R	23754623	23758557	-1	protein_coding
FBgn0030066	CG1885	X	8898554	8900264	-1	protein_coding
FBgn0037687	CG8132	3R	9401495	9402618	1	protein_coding
FBgn0043854	slam	2L	6372388	6377284	1	protein_coding
FBgn0261686	CG42733	2R	10356171	10356800	-1	protein_coding
FBgn0266025	lncRNA:CR44790	2L	2598608	2599860	-1	ncRNA
FBgn0264085	lncRNA:CR43754	2L	2283705	2285003	-1	ncRNA
FBgn0043884	mask	3R	24230562	24250248	1	protein_coding
FBgn0038943	CG5391	3R	22333088	22334150	-1	protein_coding
FBgn0023489	Pph13	2L	577486	579549	1	protein_coding
FBgn0266074	lncRNA:CR44827	2R	24237477	24238477	-1	ncRNA
FBgn0264473	lncRNA:CR43881	3L	4755605	4756142	1	ncRNA
FBgn0266775	lncRNA:CR45240	3L	15747403	15748699	1	ncRNA
FBgn0034706	CG11275	2R	22179695	22182642	1	protein_coding
FBgn0020508	Ag5r2	X	14782962	14784052	-1	protein_coding
FBgn0041156	exex	3L	7948186	7951563	1	protein_coding
FBgn0265380	asRNA:CR44321	3R	26260902	26261515	1	ncRNA
FBgn0263212	CR43382	X	19944198	19944417	-1	pseudogene
FBgn0262587	CG43124	3R	28263871	28264773	-1	protein_coding
FBgn0032637	CG5050	2L	17452924	17458775	1	protein_coding
FBgn0050286	CG30286	2R	21535716	21536795	-1	protein_coding
FBgn0031758	Ucp4B	2L	5969859	5971025	1	protein_coding
FBgn0036747	CG6052	3L	17723718	17729244	-1	protein_coding
FBgn0037949	CG17360	3R	11781131	11787014	-1	protein_coding
FBgn0038416	CG17930	3R	16327849	16329622	1	protein_coding
FBgn0028562	sut2	2R	8087396	8089297	1	protein_coding
FBgn0266574	tRNA:Thr-TGT-2-4	2R	11405232	11405303	-1	tRNA
FBgn0051862	CG31862	2L	12338848	12339477	1	protein_coding
FBgn0262960	CG43271	2L	17914365	17915023	-1	protein_coding
FBgn0086254	CG6084	3L	11620535	11624381	-1	protein_coding
FBgn0266786	lncRNA:CR45251	3L	11349395	11349743	-1	ncRNA
FBgn0031108	CG15459	X	20412341	20413581	-1	protein_coding
FBgn0034606	ASPP	2R	21217856	21251150	-1	protein_coding
FBgn0085505	lncRNA:CR40629	Y	1122988	1123872	1	ncRNA
FBgn0036590	CG13065	3L	16277435	16278180	1	protein_coding
FBgn0031437	Arpc5	2L	2580292	2581423	1	protein_coding
FBgn0011837	Tis11	X	12659415	12682554	1	protein_coding
FBgn0029799	CG15772	X	5752249	5754041	1	protein_coding
FBgn0039411	dysf	3R	26076592	26098711	-1	protein_coding
FBgn0051788	CG31788	2L	18257494	18257978	-1	protein_coding
FBgn0051611	His4:CG31611	2L	21424593	21425005	-1	protein_coding
FBgn0026189	prominin-like	3L	3114450	3127724	-1	protein_coding
FBgn0051472	sgll	3R	7810532	7811912	1	protein_coding
FBgn0260812	inaF-D	X	11724668	11729099	-1	protein_coding
FBgn0265205	lncRNA:CR44265	3R	21223623	21224589	-1	ncRNA
FBgn0032404	RpL7-like	2L	12056326	12058251	1	protein_coding
FBgn0038376	Hmt-1	3R	15853868	15857470	-1	protein_coding
FBgn0051265	CG31265	3R	17128212	17129120	1	protein_coding
FBgn0030026	sni	X	8241501	8244016	-1	protein_coding
FBgn0035676	ssp6	3L	6076722	6082491	1	protein_coding
FBgn0034611	MFS16	2R	21282298	21285679	1	protein_coding
FBgn0035384	CG2113	3L	2995172	2996155	1	protein_coding
FBgn0050083	CG30083	2R	15711597	15712644	-1	protein_coding
FBgn0262879	lncRNA:CR43234	2L	20476711	20478920	-1	ncRNA
FBgn0016984	sktl	2R	20827282	20836028	-1	protein_coding
FBgn0039902	Zip102B	4	310930	314087	-1	protein_coding
FBgn0038665	euc	3R	18978273	18978809	-1	protein_coding
FBgn0041205	key	2R	24785514	24787411	-1	protein_coding
FBgn0035140	CG17180	3L	540851	542147	1	protein_coding
FBgn0266410	CG45050	3R	9340216	9362994	1	protein_coding
FBgn0032763	CG17568	2L	19179749	19181702	-1	protein_coding
FBgn0037972	CG10005	3R	11975156	11977197	-1	protein_coding
FBgn0034900	CG12491	2R	23750646	23751225	1	protein_coding
FBgn0039374	CG17770	3R	25811911	25813134	1	protein_coding
FBgn0015247	Diap2	2R	15932170	15934825	-1	protein_coding
FBgn0004644	hh	3R	23128169	23141906	-1	protein_coding
FBgn0020653	Trxr-1	X	8242528	8248033	1	protein_coding
FBgn0086906	sls	3L	2039681	2115611	-1	protein_coding
FBgn0003942	RpS27A	2L	10408352	10410456	1	protein_coding
FBgn0010488	NAT1	2R	12915994	12923734	1	protein_coding
FBgn0262574	CG43114	2R	11310831	11311165	1	protein_coding
FBgn0263398	Uck	3R	24290172	24293371	1	protein_coding
FBgn0032773	fon	2L	19383138	19386205	-1	protein_coding
FBgn0034800	CG3788	2R	22932035	22934077	-1	protein_coding
FBgn0051081	TwdlR	3R	26634885	26635998	1	protein_coding
FBgn0267130	lncRNA:CR45570	3R	30404429	30404989	1	ncRNA
FBgn0022213	Cse1	2L	16821156	16825207	-1	protein_coding
FBgn0262848	CR43212	X	11595655	11597545	1	pseudogene
FBgn0045073	Stim	X	15934495	15940451	-1	protein_coding
FBgn0037279	CG1129	3R	4811444	4816025	1	protein_coding
FBgn0283472	S6k	3L	5797549	5810931	-1	protein_coding
FBgn0036832	CG18223	3L	18919224	18920319	-1	protein_coding
FBgn0030562	CG9400	X	14288084	14289393	-1	protein_coding
FBgn0026179	siz	3L	21034535	21075444	1	protein_coding
FBgn0037374	jagn	3R	5779315	5781308	1	protein_coding
FBgn0042085	Bap170	2R	6636512	6642358	1	protein_coding
FBgn0053896	His2B:CG33896	2L	21467375	21467969	-1	protein_coding
FBgn0260965	CG42588	3L	12814254	12824650	1	protein_coding
FBgn0037826	CG14689	3R	10709588	10711248	-1	protein_coding
FBgn0259855	Su(Ste):CR42424	Y	2593622	2595311	1	ncRNA
FBgn0267203	lncRNA:CR45643	3R	16223395	16223854	1	ncRNA
FBgn0050035	Tret1-1	2R	11665768	11674782	1	protein_coding
FBgn0050323	CG30323	2R	17853295	17854296	1	protein_coding
FBgn0035505	Teh2	3L	4178980	4188023	-1	protein_coding
FBgn0039972	CG17018	2L	22308755	22368796	1	protein_coding
FBgn0044812	TotC	3R	20872988	20873580	1	protein_coding
FBgn0039851	mey	3R	31499235	31506992	1	protein_coding
FBgn0011999	tRNA:Val-CAC-2-1	3R	7451297	7451369	1	tRNA
FBgn0053977	CG33977	3R	13402559	13403051	-1	protein_coding
FBgn0035151	CG17129	3L	677879	680326	-1	protein_coding
FBgn0267636	asRNA:CR45974	3L	18303431	18304179	1	ncRNA
FBgn0037172	ND-B14.5AL	3L	22606369	22607126	1	protein_coding
FBgn0036046	Ilp2	3L	9799698	9800440	1	protein_coding
FBgn0033206	DCTN4-p62	2R	7667248	7669029	-1	protein_coding
FBgn0266745	CG45218	3R	15290309	15290799	-1	protein_coding
FBgn0267053	CR45497	X	19931714	19932342	1	pseudogene
FBgn0039479	CG14257	3R	27075870	27082818	1	protein_coding
FBgn0014903	CG14630	X	1031496	1033165	1	protein_coding
FBgn0037250	CG1074	3R	4433965	4436175	1	protein_coding
FBgn0085489	CG34460	2R	16826872	16827755	1	protein_coding
FBgn0039654	Brd8	3R	29223485	29226276	1	protein_coding
FBgn0010287	Trf	2L	8072895	8073948	1	protein_coding
FBgn0263626	lncRNA:CR43635	3R	5045207	5045948	-1	ncRNA
FBgn0033439	CG1773	2R	9706267	9707580	1	protein_coding
FBgn0085290	CG34261	3L	21196831	21197738	1	protein_coding
FBgn0085327	CG34298	3R	29999795	30000403	1	protein_coding
FBgn0035673	CG6602	3L	6072139	6073539	1	protein_coding
FBgn0035204	CG2277	3L	1304850	1307418	-1	protein_coding
FBgn0040968	CG14933	2L	11842828	11844012	1	protein_coding
FBgn0262948	CG43267	2R	7404035	7404441	1	protein_coding
FBgn0033052	SCAP	2R	6026273	6036388	-1	protein_coding
FBgn0003975	vg	2R	12884632	12899385	1	protein_coding
FBgn0044872	FucTC	X	23008766	23011303	-1	protein_coding
FBgn0028887	CG3491	2L	14924590	14930565	1	protein_coding
FBgn0264618	lncRNA:CR43958	4	557025	557854	-1	ncRNA
FBgn0034517	Cpr57A	2R	20548368	20550117	-1	protein_coding
FBgn0265810	asRNA:CR44599	2L	13384822	13385403	-1	ncRNA
FBgn0266813	asRNA:CR45275	2R	17585692	17586243	1	ncRNA
FBgn0032416	Gr33a	2L	12138008	12140392	1	protein_coding
FBgn0036138	CG14143	3L	11134987	11135480	1	protein_coding
FBgn0033598	Cpr47Eb	2R	11255167	11255983	1	protein_coding
FBgn0043457	CG5180	3R	20557930	20559760	1	protein_coding
FBgn0035693	CG8219	3L	6200473	6203776	1	protein_coding
FBgn0063649	CG6006	3R	16154982	16171766	1	protein_coding
FBgn0034529	FAM21	2R	20623547	20628315	1	protein_coding
FBgn0265826	lncRNA:CR44615	2L	9124032	9124500	1	ncRNA
FBgn0267278	asRNA:CR45714	X	18480072	18481132	1	ncRNA
FBgn0029946	CG15034	X	7346259	7347506	-1	protein_coding
FBgn0033491	CG18011	2R	10142338	10146206	1	protein_coding
FBgn0034758	CG13510	2R	22657901	22661389	1	protein_coding
FBgn0266141	asRNA:CR44847	2L	13784713	13785423	-1	ncRNA
FBgn0030321	CG1703	X	11611927	11615128	1	protein_coding
FBgn0028516	ZnT35C	2L	15228728	15247714	-1	protein_coding
FBgn0032018	CG7806	2L	8311399	8317011	1	protein_coding
FBgn0030718	ND-20	X	15985473	15986808	-1	protein_coding
FBgn0263114	CG43371	2R	17034045	17034609	-1	protein_coding
FBgn0266688	lncRNA:CR45178	3L	13557755	13558101	1	ncRNA
FBgn0037696	GstZ1	3R	9455517	9456546	-1	protein_coding
FBgn0030761	CG9784	X	16595136	16599215	-1	protein_coding
FBgn0266885	lncRNA:CR45346	2L	1214649	1215293	-1	ncRNA
FBgn0262881	CG43236	2R	14638538	14638935	1	protein_coding
FBgn0032409	Ced-12	2L	12097838	12100839	1	protein_coding
FBgn0051855	CG31855	2L	13369204	13370329	1	protein_coding
FBgn0267939	lncRNA:CR46219	3R	30715125	30716848	1	ncRNA
FBgn0262583	CG43123	2R	7402757	7403870	1	protein_coding
FBgn0015574	alpha-Est6	3R	7524567	7528777	-1	protein_coding
FBgn0052111	lncRNA:CR32111	3L	12627934	12648280	1	ncRNA
FBgn0037379	CG10979	3R	5794705	5799994	1	protein_coding
FBgn0054051	CG34051	2L	19960069	19961030	-1	protein_coding
FBgn0034400	CG15099	2R	18836821	18846619	-1	protein_coding
FBgn0037632	CCT7	3R	8801564	8806234	1	protein_coding
FBgn0038140	PK2-R1	3R	13338330	13345106	1	protein_coding
